model,dataset,text_id,magnitude,cosine_similarity
gpt2,g2s,69,200.51765,0.965629
gpt2,g2s,70,184.21617,0.97259474
gpt2,g2s,71,196.06631,0.9791455
gpt2,g2s,72,200.52522,0.96631616
gpt2,g2s,73,194.23831,0.96743214
gpt2,g2s,74,195.48074,0.9691142
gpt2,g2s,75,189.7375,0.97631013
gpt2,g2s,76,193.89087,0.97225386
gpt2,g2s,77,186.53343,0.97586143
gpt2,g2s,78,193.78908,0.97104025
gpt2,g2s,79,193.19418,0.9737278
gpt2,g2s,80,186.58618,0.97107816
gpt2,g2s,81,211.59546,0.9702551
gpt2,g2s,82,202.97655,0.98025006
gpt2,g2s,83,178.0925,0.96977943
gpt2,g2s,84,191.27063,0.9676738
gpt2,g2s,85,206.02122,0.9697307
gpt2,g2s,86,195.05202,0.94831055
gpt2,g2s,87,189.66475,0.97408324
gpt2,g2s,88,215.31157,0.9768405
gpt2,g2s,89,185.23137,0.9691609
gpt2,g2s,90,195.84721,0.9784643
gpt2,g2s,91,198.7234,0.9760259
gpt2,g2s,92,193.78908,0.97104025
gpt2,g2s,93,200.52522,0.96631616
gpt2,g2s,94,205.39467,0.9641305
gpt2,g2s,95,190.60733,0.9760628
gpt2,g2s,96,193.24922,0.9760888
gpt2,g2s,97,218.34827,0.9775633
gpt2,g2s,98,186.20334,0.96994984
gpt2,g2s,99,212.97563,0.97797537
gpt2,g2s,100,192.29112,0.96453434
gpt2,g2s,101,206.64735,0.96927553
gpt2,g2s,102,194.94907,0.9752458
gpt2,g2s,103,205.90016,0.97852474
gpt2,g2s,104,178.0925,0.96977943
gpt2,g2s,105,194.23831,0.96743214
gpt2,g2s,106,201.20984,0.9664603
gpt2,g2s,107,202.19286,0.9774901
gpt2,g2s,108,183.85464,0.9719926
gpt2,g2s,109,201.99582,0.96857005
gpt2,g2s,110,189.39702,0.9756956
gpt2,g2s,111,184.40181,0.96537066
gpt2,g2s,112,196.60985,0.9761982
gpt2,g2s,113,206.64735,0.96927553
gpt2,g2s,114,206.98277,0.97902936
gpt2,g2s,115,196.19626,0.974648
gpt2,g2s,116,179.43681,0.9730433
gpt2,g2s,117,194.83513,0.9770207
gpt2,g2s,118,208.4919,0.9767637
gpt2,g2s,119,211.98906,0.9754405
gpt2,g2s,120,186.76485,0.96697366
gpt2,g2s,121,206.90536,0.9771261
gpt2,g2s,122,187.30753,0.96880186
gpt2,g2s,123,194.94907,0.9752458
gpt2,g2s,124,195.19727,0.9778193
gpt2,g2s,125,215.25829,0.97622246
gpt2,g2s,126,186.80891,0.96801615
gpt2,g2s,127,212.97563,0.97797537
gpt2,g2s,128,191.7258,0.9551328
gpt2,g2s,129,183.71344,0.9758514
gpt2,g2s,130,184.32216,0.9707476
gpt2,g2s,131,215.36089,0.9762896
gpt2,g2s,132,208.78041,0.9759804
gpt2,g2s,133,199.56897,0.9760493
gpt2,g2s,134,191.27063,0.9676738
gpt2,g2s,135,193.19418,0.9737278
gpt2,g2s,136,181.75311,0.9746029
gpt2,g2s,137,206.77557,0.97770387
gpt2,g2s,138,202.4894,0.9778625
gpt2,g2s,139,205.07541,0.9780882
gpt2,g2s,140,190.63428,0.9755146
gpt2,g2s,141,198.01913,0.9737744
gpt2,g2s,142,214.33272,0.97397774
gpt2,g2s,143,194.94907,0.9752458
gpt2,g2s,144,189.66475,0.97408324
gpt2,g2s,145,209.46982,0.97330225
gpt2,g2s,146,178.0925,0.96977943
gpt2,g2s,147,203.71315,0.97693837
gpt2,g2s,148,207.37222,0.9685373
gpt2,g2s,149,201.38454,0.9772979
gpt2,g2m,0,228.5714,0.9849584
gpt2,g2m,1,240.04897,0.9826901
gpt2,g2m,2,223.26881,0.9830884
gpt2,g2m,3,234.11855,0.98404455
gpt2,g2m,4,223.29874,0.97977436
gpt2,g2m,5,205.60757,0.9758835
gpt2,g2m,6,212.42468,0.9817721
gpt2,g2m,7,225.69125,0.9828632
gpt2,g2m,8,226.339,0.98537725
gpt2,g2m,9,220.76942,0.98506093
gpt2,g2m,10,226.91924,0.98336995
gpt2,g2m,11,232.44215,0.9835339
gpt2,g2m,12,225.99438,0.9847536
